Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PK,Park Hotels & Resorts Inc.,29.8,$6B,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/pk
PKE,Park Electrochemical Corporation,18.02,$365.43M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/pke
PKG,Packaging Corporation of America,96.04,$9.08B,2000,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/pkg
PKI,"PerkinElmer, Inc.",93.59,$10.41B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/pki
PKO,Pimco Income Opportunity Fund,26.35,$411.51M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pko
PKX,POSCO,60.55,$19.4B,1994,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/pkx
PLAN,"Anaplan, Inc.",31.5,$3.94B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/plan
PLD,"Prologis, Inc.",69.48,$43.74B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pld
PLNT,"Planet Fitness, Inc.",57.92,$5.39B,2015,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/plnt
PLOW,"Douglas Dynamics, Inc.",35.86,$814.06M,2010,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/plow
PLT,"Plantronics, Inc.",47.79,$1.9B,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/plt
PM,Philip Morris International Inc,75.51,$117.38B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pm
PMF,PIMCO Municipal Income Fund,13.4,$345.06M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pmf
PML,Pimco Municipal Income Fund II,13.8299,$861.35M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pml
PMM,Putnam Managed Municipal Income Trust,7.13,$373.79M,1989,n/a,n/a,https://www.nasdaq.com/symbol/pmm
PMO,Putnam Municipal Opportunities Trust,11.85,$441.18M,1993,n/a,n/a,https://www.nasdaq.com/symbol/pmo
PMT,PennyMac Mortgage Investment Trust,20.41,$1.24B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pmt
PMT^A,PennyMac Mortgage Investment Trust,25.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pmt^a
PMT^B,PennyMac Mortgage Investment Trust,25.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pmt^b
PMX,PIMCO Municipal Income Fund III,11.98,$394.65M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pmx
PNC,"PNC Financial Services Group, Inc. (The)",122.61,$56.03B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/pnc
PNC^P,"PNC Financial Services Group, Inc. (The)",26.26,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnc^p
PNC^Q,"PNC Financial Services Group, Inc. (The)",24.94,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnc^q
PNF,PIMCO New York Municipal Income Fund,13.05,$101.66M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pnf
PNI,Pimco New York Municipal Income Fund II,11.6222,$129.68M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pni
PNM,"PNM Resources, Inc. (Holding Co.)",41.78,$3.33B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnm
PNR,Pentair plc.,41.5,$7.2B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/pnr
PNW,Pinnacle West Capital Corporation,87.69,$9.83B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnw
POL,PolyOne Corporation,32.46,$2.59B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pol
POR,Portland General Electric Company,47.81,$4.27B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/por
POST,"Post Holdings, Inc.",97.1,$6.47B,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/post
PPDF,PPDAI Group Inc.,3.47,$1.04B,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ppdf
PPG,"PPG Industries, Inc.",106.1,$25.45B,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/ppg
PPL,PPL Corporation,30.88,$22.24B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppl
PPR,Voya Prime Rate Trust,4.67,$690.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ppr
PPT,Putnam Premier Income Trust,5.01,$534.39M,1988,n/a,n/a,https://www.nasdaq.com/symbol/ppt
PPX,"PPL Capital Funding, Inc.",25.03,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppx
PQG,PQ Group Holdings Inc.,15.34,$2.08B,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pqg
PRA,ProAssurance Corporation,41.66,$2.23B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pra
PRE^F,PartnerRe Ltd.,25.4994,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^f
PRE^G,PartnerRe Ltd.,25.94,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^g
PRE^H,PartnerRe Ltd.,26.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^h
PRE^I,PartnerRe Ltd.,25.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^i
PRGO,Perrigo Company,47.4,$6.44B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prgo
PRH,"Prudential Financial, Inc.",25.06,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/prh
PRI,"Primerica, Inc.",115.11,$4.94B,2010,Finance,Life Insurance,https://www.nasdaq.com/symbol/pri
PRIF^A,"Priority Income Fund, Inc.",25.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prif^a
PRIF^B,"Priority Income Fund, Inc.",24.7811,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prif^b
PRLB,"Proto Labs, Inc.",130.06,$3.52B,2012,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/prlb
PRO,"PROS Holdings, Inc.",36.47,$1.35B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/pro
PRS,"Prudential Financial, Inc.",24.86,$541.61M,2018,Finance,Life Insurance,https://www.nasdaq.com/symbol/prs
PRSP,Perspecta Inc.,20.22,$3.32B,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/prsp
PRT,PermRock Royalty Trust,8.39,$102.07M,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/prt
PRTY,Party City Holdco Inc.,11.22,$1.09B,2015,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prty
PRU,"Prudential Financial, Inc.",93.41,$38.58B,2001,Finance,Life Insurance,https://www.nasdaq.com/symbol/pru
PSA,Public Storage,208.54,$36.36B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa
PSA^A,Public Storage,25.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^a
PSA^B,Public Storage,24.3,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^b
PSA^C,Public Storage,22.79,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^c
PSA^D,Public Storage,22.52,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^d
PSA^E,Public Storage,22.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^e
PSA^F,Public Storage,22.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^f
PSA^G,Public Storage,22.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^g
PSA^U,Public Storage,25.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^u
PSA^V,Public Storage,23.95,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^v
PSA^W,Public Storage,23.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^w
PSA^X,Public Storage,23.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^x
PSA^Y,Public Storage,25.32,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^y
PSA^Z,Public Storage,25.58,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^z
PSB,"PS Business Parks, Inc.",144.49,$3.95B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psb
PSB^U,"PS Business Parks, Inc.",23.83,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^u
PSB^V,"PS Business Parks, Inc.",24.9051,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^v
PSB^W,"PS Business Parks, Inc.",22.01,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^w
PSB^X,"PS Business Parks, Inc.",22.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^x
PSB^Y,"PS Business Parks, Inc.",21.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^y
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",26.97,$323.61M,2010,n/a,n/a,https://www.nasdaq.com/symbol/psf
PSO,"Pearson, Plc",11.99,$9.37B,n/a,Consumer Services,Books,https://www.nasdaq.com/symbol/pso
PSTG,"Pure Storage, Inc. ",18.73,$4.53B,2015,Technology,Electronic Components,https://www.nasdaq.com/symbol/pstg
PSX,Phillips 66,94.42,$43.54B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,49.73,$6.16B,2013,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/psxp
PTR,PetroChina Company Limited,63.7,$116.58B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ptr
PTY,Pimco Corporate & Income Opportunity Fund,16.74,$1.42B,2002,n/a,n/a,https://www.nasdaq.com/symbol/pty
PUK,Prudential Public Limited Company,40.22,$52.15B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/puk
PUK^,Prudential Public Limited Company,26.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^
PUK^A,Prudential Public Limited Company,26.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^a
PUMP,ProPetro Holding Corp.,17.15,$1.72B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/pump
PVG,"Pretium Resources, Inc.",7.68,$1.41B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pvg
PVH,PVH Corp.,112.27,$8.5B,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/pvh
PVL,Permianville Royalty Trust,2.45,$80.85M,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pvl
PVT.U,Pivotal Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/pvt.u
PVTL,"Pivotal Software, Inc.",19.61,$5.15B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/pvtl
PWR,"Quanta Services, Inc.",34.76,$5.08B,n/a,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/pwr
PXD,Pioneer Natural Resources Company,141.79,$24.17B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pxd
PYN,PIMCO New York Municipal Income Fund III,10,$57.12M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pyn
PYS,PPlus Trust,16.1457,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pys
PYT,PPlus Trust,19.98,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pyt
PYX,"Pyxus International, Inc.",16.41,$148.82M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pyx
PZC,PIMCO California Municipal Income Fund III,10.75,$239.65M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pzc
PZN,Pzena Investment Management Inc,8.75,$606.75M,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/pzn
QD,Qudian Inc.,5.08,$1.66B,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qd
QEP,"QEP Resources, Inc.",8.06,$1.91B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/qep
QES,Quintana Energy Services Inc.,4.92,$165.24M,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/qes
QGEN,Qiagen N.V.,37.33,$8.45B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/qgen
QHC,Quorum Health Corporation,2.93,$92.38M,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/qhc
QSR,Restaurant Brands International Inc.,62.59,$15.74B,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/qsr
QTS,"QTS Realty Trust, Inc.",42.25,$2.16B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/qts
QTS^A,"QTS Realty Trust, Inc.",25.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qts^a
QTS^B,"QTS Realty Trust, Inc.",104.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qts^b
QTWO,"Q2 Holdings, Inc.",62.1,$2.69B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qtwo
QUAD,"Quad Graphics, Inc",13.91,$715.43M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/quad
QUOT,Quotient Technology Inc.,9.9,$942.37M,2014,Consumer Services,Advertising,https://www.nasdaq.com/symbol/quot
QVCD,"QVC, Inc.",23.5,n/a,2018,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/qvcd
R,"Ryder System, Inc.",58.41,$3.1B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/r
RA,Brookfield Real Assets Income Fund Inc.,21.1,$769.9M,2016,n/a,n/a,https://www.nasdaq.com/symbol/ra
RACE,Ferrari N.V.,126.96,$31.12B,2015,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/race
RAD,Rite Aid Corporation,0.8039,$857.66M,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/rad
RAMP,"LiveRamp Holdings, Inc.",44.04,$3B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ramp
RBA,Ritchie Bros. Auctioneers Incorporated,36.71,$3.99B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rba
RBC,Regal Beloit Corporation,80.45,$3.47B,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/rbc
RBS,Royal Bank Scotland plc (The),6.54,$39.4B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/rbs
RC,Ready Capital Corporation,15.8,$506.63M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rc
RCA,Ready Capital Corporation,25.63,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rca
RCI,"Rogers Communication, Inc.",54.02,$21.81B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/rci
RCL,Royal Caribbean Cruises Ltd.,118.15,$24.7B,1993,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/rcl
RCP,Ready Capital Corporation,25.3243,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rcp
RCS,"PIMCO Strategic Income Fund, Inc.",10.15,$438.69M,1994,n/a,n/a,https://www.nasdaq.com/symbol/rcs
RCUS,"Arcus Biosciences, Inc.",10.14,$450.76M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rcus
RDC,Rowan Companies plc,12.87,$1.64B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rdc
RDN,Radian Group Inc.,19.55,$4.17B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/rdn
RDS.A,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rds.a
RDS.B,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rds.b
RDY,Dr. Reddy&#39;s Laboratories Ltd,39.37,$6.54B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rdy
RE,"Everest Re Group, Ltd.",222.3,$9.04B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/re
RELX,RELX PLC,22.37,$43.96B,2015,Consumer Services,Publishing,https://www.nasdaq.com/symbol/relx
REN           ,Resolute Energy Corporation,32.19,$750.97M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ren
RENN,Renren Inc.,1.65,$113.51M,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/renn
RES,"RPC, Inc.",11.04,$2.37B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/res
RESI,Front Yard Residential Corporation,11.24,$602.8M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/resi
REV,"Revlon, Inc.",24.87,$1.31B,1996,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/rev
REVG,"REV Group, Inc.",8.63,$540.96M,2017,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/revg
REX,REX American Resources Corporation,73.1,$462.52M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/rex
REXR,"Rexford Industrial Realty, Inc.",33.58,$3.12B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rexr
REXR^A,"Rexford Industrial Realty, Inc.",23.1003,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rexr^a
REXR^B,"Rexford Industrial Realty, Inc.",23.54,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rexr^b
REZI,"Resideo Technologies, Inc.",23.89,$2.94B,2018,Capital Goods,Wholesale Distributors,https://www.nasdaq.com/symbol/rezi
RF,Regions Financial Corporation,15.41,$15.8B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/rf
RF^A,Regions Financial Corporation,25.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rf^a
RF^B,Regions Financial Corporation,26.48,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rf^b
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",12.7,$332M,1993,n/a,n/a,https://www.nasdaq.com/symbol/rfi
RFP,Resolute Forest Products Inc.,8.07,$733.07M,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/rfp
RGA,"Reinsurance Group of America, Incorporated",142.78,$8.97B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/rga
RGR,"Sturm, Ruger & Company, Inc.",57.14,$997.55M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/rgr
RGS,Regis Corporation,18.7,$752.4M,1991,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/rgs
RGT,"Royce Global Value Trust, Inc.",9.69,$101.37M,2013,n/a,n/a,https://www.nasdaq.com/symbol/rgt
RH,RH,140.52,$2.98B,2012,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/rh
RHI,Robert Half International Inc.,63.66,$7.73B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/rhi
RHP,"Ryman Hospitality Properties, Inc.",80.66,$4.14B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rhp
RHT,"Red Hat, Inc.",178.81,$31.61B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/rht
RIG,Transocean Ltd.,8.83,$5.38B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rig
RIO,Rio Tinto Plc,56.64,$96.56B,2002,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/rio
RIV,"RiverNorth Opportunities Fund, Inc.",17.1,$91.15M,2015,n/a,n/a,https://www.nasdaq.com/symbol/riv
RJF,"Raymond James Financial, Inc.",81.66,$11.48B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/rjf
RL,Ralph Lauren Corporation,126.08,$10.14B,1997,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/rl
RLGY,Realogy Holdings Corp.,17.67,$2.09B,2012,Finance,Real Estate,https://www.nasdaq.com/symbol/rlgy
RLH,Red Lion Hotels Corporation,9.19,$225.74M,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/rlh
RLI,RLI Corp.,67.4,$3B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/rli
RLJ,RLJ Lodging Trust,18.63,$3.26B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rlj
RLJ^A,RLJ Lodging Trust,25.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rlj^a
RM,Regional Management Corp.,27.89,$328.86M,2012,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/rm
RMAX,"RE/MAX Holdings, Inc.",39.99,$709.67M,2013,Finance,Real Estate,https://www.nasdaq.com/symbol/rmax
RMD,ResMed Inc.,95.59,$13.62B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rmd
RMED,"Ra Medical Systems, Inc.",7.04,$89.33M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rmed
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",20.01,$119.06M,2018,n/a,n/a,https://www.nasdaq.com/symbol/rmi
RMPL^,RiverNorth Marketplace Lending Corporation,25.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rmpl^
RMT,"Royce Micro-Cap Trust, Inc.",8.49,$337.15M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rmt
RNG,"Ringcentral, Inc.",96.39,$7.74B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/rng
RNGR,"Ranger Energy Services, Inc.",7.7,$121.63M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/rngr
RNP,Cohen & Steers Reit and Preferred Income Fund Inc,19.71,$937.54M,2003,n/a,n/a,https://www.nasdaq.com/symbol/rnp
RNR,RenaissanceRe Holdings Ltd.,141.62,$5.7B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/rnr
RNR^C,RenaissanceRe Holdings Ltd.,25.7361,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rnr^c
RNR^E,RenaissanceRe Holdings Ltd.,23.45,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rnr^e
RNR^F,RenaissanceRe Holdings Ltd.,24.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rnr^f
ROAN,"Roan Resources, Inc.",10.77,$1.64B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/roan
ROG,Rogers Corporation,129.92,$2.39B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/rog
ROK,"Rockwell Automation, Inc.",170.96,$20.44B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rok
ROL,"Rollins, Inc.",37.4,$12.24B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/rol
ROP,"Roper Technologies, Inc.",299.75,$31B,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rop
ROYT,Pacific Coast Oil Trust,1.8,$69.45M,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/royt
RPAI,"Retail Properties of America, Inc.",12.85,$2.77B,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rpai
RPM,RPM International Inc.,57.27,$7.54B,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/rpm
RPT,RPT Realty,13.28,$1.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rpt
RPT^D,RPT Realty,53.2981,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rpt^d
RQI,Cohen & Steers Quality Income Realty Fund Inc,12.14,$1.33B,2002,n/a,n/a,https://www.nasdaq.com/symbol/rqi
RRC,Range Resources Corporation,10.14,$2.53B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rrc
RRD,R.R. Donnelley & Sons Company,5.53,$389.31M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/rrd
RRTS,"Roadrunner Transportation Systems, Inc",0.53,$20.62M,2010,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rrts
RS,Reliance Steel & Aluminum Co.,83.04,$5.85B,1994,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/rs
RSG,"Republic Services, Inc.",77.37,$25.11B,1998,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/rsg
RST,Rosetta Stone,15.32,$350.24M,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rst
RTEC,"Rudolph Technologies, Inc.",22.47,$716.81M,1999,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rtec
RTN,Raytheon Company,175.07,$49.82B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rtn
RTW,"RTW Retailwinds, Inc.",3.14,$203.65M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/rtw
RUBI,"The Rubicon Project, Inc.",4.62,$234.47M,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/rubi
RVI,Retail Value Inc.,30.6,$565.03M,2018,Finance,Real Estate,https://www.nasdaq.com/symbol/rvi
RVT,"Royce Value Trust, Inc.",13.72,$1.18B,1986,n/a,n/a,https://www.nasdaq.com/symbol/rvt
RWGE,Regalwood Global Energy Ltd.,10,$375M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/rwge
RWGE.U,Regalwood Global Energy Ltd.,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/rwge.u
RWGE.WS,Regalwood Global Energy Ltd.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rwge.ws
RWT,"Redwood Trust, Inc.",15.97,$1.36B,1995,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rwt
RXN,Rexnord Corporation,26.52,$2.78B,2012,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rxn
RXN^A,Rexnord Corporation,55.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rxn^a
RY,Royal Bank Of Canada,76.82,$110.28B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ry
RY^T,Royal Bank Of Canada,30.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ry^t
RYAM,Rayonier Advanced Materials Inc.,14.74,$752.64M,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ryam
RYAM^A,Rayonier Advanced Materials Inc.,104.8251,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ryam^a
RYB,"RYB Education, Inc.",7.73,$225.82M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ryb
